label,value
ag-subsist,1.0
ag-exp+ind,1.0
sylvicult,1.0
ind-alim,4.0
biens-cons,4.0
biens-int,4.0
cim-int,4.0
biens-cap,4.0
construct,4.0
services,4.0
publiques,4.0
