label,value
ag-subsist,0.002
ag-exp+ind,0.191
sylvicult,0.057
ind-alim,0.038
biens-cons,0.096
biens-int,0.026
cim-int,0.014
biens-cap,0.029
construct,0.034
services,0.076
publiques,0.0
