label,value
ag-subsist,-0.33333333333333337
ag-exp+ind,0.11111111111111116
sylvicult,1.5
ind-alim,-0.19999999999999996
biens-cons,-0.19999999999999996
biens-int,1.0
cim-int,0.33333333333333326
biens-cap,1.5
construct,1.5
services,1.5
publiques,1.5
