label,value
ag-subsist,4.033
ag-exp+ind,3.509
sylvicult,1.025
ind-alim,3.19
biens-cons,7.101
biens-int,3.494
cim-int,0.0
biens-cap,0.433
construct,0.0
services,0.0
publiques,0.0
