label,value
ag-subsist,1.6666666666666665
ag-exp+ind,2.111111111111111
sylvicult,3.5
ind-alim,1.8
biens-cons,1.8
biens-int,3.0
cim-int,2.333333333333333
biens-cap,3.5
construct,3.5
services,3.5
publiques,3.5
