label,value
ag-subsist,495.73
ag-exp+ind,170.89
sylvicult,73.76
ind-alim,140.0
biens-cons,236.87
biens-int,853.13
cim-int,102.51
biens-cap,20.6
construct,435.29
services,769.73
publiques,180.36
