label,value
ag-subsist,0.0
ag-exp+ind,0.0
sylvicult,0.0
ind-alim,0.0
biens-cons,0.0
biens-int,0.0
cim-int,0.0
biens-cap,0.0
construct,0.0
services,0.0
publiques,0.0
