label,value
ag-subsist,4.594
ag-exp+ind,125.07
sylvicult,22.337
ind-alim,23.451
biens-cons,5.864
biens-int,101.33
cim-int,10.501
biens-cap,3.838
construct,0.0
services,81.626
publiques,0.0
