label,value
ag-subsist,0.2744
ag-exp+ind,0.00445
sylvicult,0.0
ind-alim,0.05599
biens-cons,0.14099
biens-int,0.17738
cim-int,0.0
biens-cap,0.0
construct,0.004
services,0.31921
publiques,0.02358
