label,value
ag-subsist,2.461
ag-exp+ind,8.039
sylvicult,0.023
ind-alim,17.961
biens-cons,37.062
biens-int,138.57
cim-int,49.616
biens-cap,134.72
construct,0.0
services,74.439
publiques,0.0
