label,value
ag-subsist,1.0
ag-exp+ind,1.0
sylvicult,1.0
ind-alim,1.0
biens-cons,1.0
biens-int,1.0
cim-int,1.0
biens-cap,1.0
construct,1.0
services,1.0
publiques,1.0
