label,value
ag-subsist,0.0246
ag-exp+ind,0.0472
sylvicult,0.0244
ind-alim,0.0144
biens-cons,0.0212
biens-int,0.0335
cim-int,0.0335
biens-cap,0.0111
construct,0.0232
services,0.0637
publiques,0.0637
