label,value
er,1.0000
pr,0.0000
pindex,1.0000
gr,194.0449
tariff,28.6572
indtax,65.2754
netsub,0.0000
gdtot,141.1519
hhsav,61.4089
govsav,52.8930
deprecia,0.0000
savings,159.1419
invest,159.1419
fsav,39.1744
fbor,58.7590
remit,0.0000
tothhtax,100.1122
y,1123.5941
