label,value
ag-subsist,0.012203
ag-exp+ind,0.026694
sylvicult,0.034742
ind-alim,0.044291
biens-cons,0.059958
biens-int,0.012287
cim-int,0.0
biens-cap,0.042047
construct,0.0
services,0.0
publiques,0.0
