label,value
ag-subsist,330.48
ag-exp+ind,131.45
sylvicult,29.503
ind-alim,72.024
biens-cons,118.43
biens-int,284.38
cim-int,34.169
biens-cap,10.298
construct,174.12
services,615.79
publiques,163.98
