label,value
ag-subsist,0.11
ag-exp+ind,0.09
sylvicult,0.06
ind-alim,0.01
biens-cons,0.04
biens-int,0.14
cim-int,0.02
biens-cap,0.01
construct,0.08
services,0.34
publiques,0.1
