label,value
ag-subsist,0.2205
ag-exp+ind,0.233
sylvicult,0.278
ind-alim,0.3534
biens-cons,0.3826
biens-int,0.1768
cim-int,0.2633
biens-cap,0.268
construct,0.0
services,0.0
publiques,0.0
